                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.1299,                0.58406,                0.99641,                0.84611,                0.75283,                0.81132,                0.55968,                 1.2942,                0.68415,                 1.0879,              0.0004456,              0.0004456,              0.0004456
                    115,                 1.1384,                0.58648,                0.99455,                0.81558,                0.79536,                0.82348,                0.56406,                 1.2991,                0.68325,                 1.0821,             0.00044065,             0.00044065,             0.00044065
                    116,                  1.143,                0.59234,                 1.0026,                0.86793,                0.76592,                0.81688,                0.56248,                 1.2978,                0.67922,                 1.0876,              0.0004357,              0.0004357,              0.0004357
                    117,                 1.1496,                0.57441,                0.99966,                 0.8738,                 0.7592,                0.82358,                0.56504,                  1.295,                0.67623,                 1.0792,             0.00043075,             0.00043075,             0.00043075
                    118,                 1.1588,                0.58486,                0.99697,                 0.8889,                0.74194,                0.81944,                0.56581,                  1.294,                 0.6736,                 1.0862,              0.0004258,              0.0004258,              0.0004258
                    119,                 1.1418,                0.58501,                0.99518,                0.87218,                0.75098,                0.81762,                0.56459,                 1.3046,                0.67368,                 1.0935,             0.00042085,             0.00042085,             0.00042085
                    120,                 1.1336,                0.58026,                0.99675,                0.87949,                0.75179,                0.82051,                0.56591,                 1.2815,                0.66942,                 1.0812,              0.0004159,              0.0004159,              0.0004159
                    121,                 1.1483,                0.57043,                0.99446,                0.87814,                0.75983,                0.82106,                0.56322,                 1.2943,                0.66878,                 1.0855,             0.00041095,             0.00041095,             0.00041095
                    122,                 1.1128,                0.57271,                0.98762,                0.86264,                0.77755,                0.81997,                0.56636,                 1.2936,                0.67677,                 1.0886,               0.000406,               0.000406,               0.000406
                    123,                 1.1351,                  0.575,                0.99551,                0.84836,                0.74675,                0.81335,                0.56065,                 1.2898,                0.67649,                 1.0858,             0.00040105,             0.00040105,             0.00040105
                    124,                 1.1526,                0.58285,                  1.005,                0.84775,                0.76578,                0.81059,                0.55751,                 1.3056,                0.68716,                 1.0944,              0.0003961,              0.0003961,              0.0003961
                    125,                 1.1238,                0.57793,                0.99253,                0.88909,                0.72775,                0.80947,                0.55375,                 1.3146,                0.68502,                  1.096,             0.00039115,             0.00039115,             0.00039115
                    126,                 1.1353,                0.57477,                0.99413,                 0.8688,                0.75262,                0.81008,                0.55898,                 1.3016,                 0.6784,                 1.0912,              0.0003862,              0.0003862,              0.0003862
                    127,                 1.1246,                0.56251,                0.98273,                0.86941,                0.75991,                 0.8133,                0.55854,                 1.3076,                0.68601,                 1.0905,             0.00038125,             0.00038125,             0.00038125
                    128,                 1.1073,                0.55625,                0.98656,                0.87652,                0.74831,                0.80839,                0.55788,                 1.3099,                0.68676,                 1.0981,              0.0003763,              0.0003763,              0.0003763
                    129,                 1.1008,                0.55635,                0.98152,                0.88185,                0.75787,                 0.8218,                 0.5647,                 1.3012,                0.67201,                 1.0941,             0.00037135,             0.00037135,             0.00037135
                    130,                 1.1238,                0.57368,                0.99204,                0.87857,                0.75615,                0.81563,                0.56296,                  1.295,                0.67573,                 1.0904,              0.0003664,              0.0003664,              0.0003664
                    131,                 1.1258,                0.56263,                0.98456,                 0.8143,                0.78601,                0.81851,                0.56558,                 1.3059,                0.67275,                  1.101,             0.00036145,             0.00036145,             0.00036145
                    132,                 1.1093,                0.56469,                0.98337,                0.80221,                 0.7847,                0.81854,                0.56308,                 1.3034,                0.67178,                 1.0972,              0.0003565,              0.0003565,              0.0003565
                    133,                 1.1187,                0.56766,                0.98814,                0.88259,                0.73867,                0.80959,                0.55719,                  1.317,                0.67989,                 1.1021,             0.00035155,             0.00035155,             0.00035155
                    134,                 1.1091,                0.55547,                0.98504,                0.88004,                0.74739,                0.81781,                0.56081,                 1.2962,                0.67635,                 1.0882,              0.0003466,              0.0003466,              0.0003466
                    135,                 1.1077,                0.56142,                0.98114,                0.88646,                0.74515,                0.81545,                0.55969,                 1.3018,                0.68371,                 1.0966,             0.00034165,             0.00034165,             0.00034165
                    136,                 1.0993,                 0.5625,                0.97679,                 0.8794,                0.76257,                0.81772,                0.55793,                 1.2974,                 0.6758,                 1.0905,              0.0003367,              0.0003367,              0.0003367
                    137,                 1.0985,                 0.5546,                0.97946,                 0.8608,                0.74683,                0.81401,                0.56311,                 1.3058,                0.68474,                 1.0903,             0.00033175,             0.00033175,             0.00033175
                    138,                 1.1053,                0.56287,                0.98419,                0.87581,                0.75253,                0.81714,                0.56077,                 1.3114,                0.68956,                 1.1016,              0.0003268,              0.0003268,              0.0003268
                    139,                 1.1048,                 0.5735,                0.97813,                0.87736,                0.75752,                0.81732,                0.55848,                 1.3029,                0.67814,                 1.0932,             0.00032185,             0.00032185,             0.00032185
                    140,                 1.0995,                0.56326,                0.98422,                0.87674,                0.75072,                0.80839,                0.55651,                    1.3,                0.67441,                 1.0951,              0.0003169,              0.0003169,              0.0003169
